Food Item,Calories,Protein,Fat,Carbs
Apple,95,0.5,0.3,25.0
Banana,105,1.3,0.4,27.0
Chicken Breast (100g),165,31.0,3.6,0.0
Egg (1 large),72,6.3,4.8,0.6
Broccoli (100g),55,3.7,0.6,11.0
Almonds (28g),161,6.0,14.0,6.0
Salmon (100g),206,22.0,12.0,0.0
Sweet Potato (100g),86,1.6,0.1,20.0
Avocado (100g),160,2.0,15.0,9.0
Oats (100g),389,16.9,6.9,66.0
Brown Rice (100g),123,2.6,1.0,25.6
Yogurt (100g),59,10.0,0.4,3.6
Lentils (100g),116,9.0,0.4,20.0
Quinoa (100g),120,4.1,1.9,21.0
Peanut Butter (28g),188,8.0,16.0,6.0
Tofu (100g),76,8.0,4.8,1.9
Cheddar Cheese (28g),113,7.0,9.3,0.4
Spinach (100g),23,2.9,0.4,3.6
Blueberries (100g),57,0.7,0.3,14.0
Carrots (100g),41,0.9,0.2,10.0
